,Manufacturing_Employment
2006-01-06,14208.0
2006-01-13,14208.0
2006-01-20,14208.0
2006-01-27,14208.0
2006-02-03,14208.0
2006-02-10,14208.0
2006-02-17,14208.0
2006-02-24,14208.0
2006-03-03,14210.0
2006-03-10,14210.0
2006-03-17,14210.0
2006-03-24,14210.0
2006-03-31,14210.0
2006-04-07,14223.0
2006-04-14,14223.0
2006-04-21,14223.0
2006-04-28,14223.0
2006-05-05,14200.0
2006-05-12,14200.0
2006-05-19,14200.0
2006-05-26,14200.0
2006-06-02,14210.0
2006-06-09,14210.0
2006-06-16,14210.0
2006-06-23,14210.0
2006-06-30,14210.0
2006-07-07,14185.0
2006-07-14,14185.0
2006-07-21,14185.0
2006-07-28,14185.0
2006-08-04,14154.0
2006-08-11,14154.0
2006-08-18,14154.0
2006-08-25,14154.0
2006-09-01,14120.0
2006-09-08,14120.0
2006-09-15,14120.0
2006-09-22,14120.0
2006-09-29,14120.0
2006-10-06,14068.0
2006-10-13,14068.0
2006-10-20,14068.0
2006-10-27,14068.0
2006-11-03,14034.0
2006-11-10,14034.0
2006-11-17,14034.0
2006-11-24,14034.0
2006-12-01,14009.0
2006-12-08,14009.0
2006-12-15,14009.0
2006-12-22,14009.0
2006-12-29,14009.0
2007-01-05,14004.0
2007-01-12,14004.0
2007-01-19,14004.0
2007-01-26,14004.0
2007-02-02,13993.0
2007-02-09,13993.0
2007-02-16,13993.0
2007-02-23,13993.0
2007-03-02,13964.0
2007-03-09,13964.0
2007-03-16,13964.0
2007-03-23,13964.0
2007-03-30,13964.0
2007-04-06,13939.0
2007-04-13,13939.0
2007-04-20,13939.0
2007-04-27,13939.0
2007-05-04,13922.0
2007-05-11,13922.0
2007-05-18,13922.0
2007-05-25,13922.0
2007-06-01,13903.0
2007-06-08,13903.0
2007-06-15,13903.0
2007-06-22,13903.0
2007-06-29,13903.0
2007-07-06,13881.0
2007-07-13,13881.0
2007-07-20,13881.0
2007-07-27,13881.0
2007-08-03,13821.0
2007-08-10,13821.0
2007-08-17,13821.0
2007-08-24,13821.0
2007-08-31,13821.0
2007-09-07,13784.0
2007-09-14,13784.0
2007-09-21,13784.0
2007-09-28,13784.0
2007-10-05,13756.0
2007-10-12,13756.0
2007-10-19,13756.0
2007-10-26,13756.0
2007-11-02,13751.0
2007-11-09,13751.0
2007-11-16,13751.0
2007-11-23,13751.0
2007-11-30,13751.0
2007-12-07,13739.0
2007-12-14,13739.0
2007-12-21,13739.0
2007-12-28,13739.0
2008-01-04,13717.0
2008-01-11,13717.0
2008-01-18,13717.0
2008-01-25,13717.0
2008-02-01,13690.0
2008-02-08,13690.0
2008-02-15,13690.0
2008-02-22,13690.0
2008-02-29,13690.0
2008-03-07,13650.0
2008-03-14,13650.0
2008-03-21,13650.0
2008-03-28,13650.0
2008-04-04,13589.0
2008-04-11,13589.0
2008-04-18,13589.0
2008-04-25,13589.0
2008-05-02,13555.0
2008-05-09,13555.0
2008-05-16,13555.0
2008-05-23,13555.0
2008-05-30,13555.0
2008-06-06,13494.0
2008-06-13,13494.0
2008-06-20,13494.0
2008-06-27,13494.0
2008-07-04,13419.0
2008-07-11,13419.0
2008-07-18,13419.0
2008-07-25,13419.0
2008-08-01,13348.0
2008-08-08,13348.0
2008-08-15,13348.0
2008-08-22,13348.0
2008-08-29,13348.0
2008-09-05,13267.0
2008-09-12,13267.0
2008-09-19,13267.0
2008-09-26,13267.0
2008-10-03,13138.0
2008-10-10,13138.0
2008-10-17,13138.0
2008-10-24,13138.0
2008-10-31,13138.0
2008-11-07,13026.0
2008-11-14,13026.0
2008-11-21,13026.0
2008-11-28,13026.0
2008-12-05,12842.0
2008-12-12,12842.0
2008-12-19,12842.0
2008-12-26,12842.0
2009-01-02,12552.0
2009-01-09,12552.0
2009-01-16,12552.0
2009-01-23,12552.0
2009-01-30,12552.0
2009-02-06,12371.0
2009-02-13,12371.0
2009-02-20,12371.0
2009-02-27,12371.0
2009-03-06,12196.0
2009-03-13,12196.0
2009-03-20,12196.0
2009-03-27,12196.0
2009-04-03,12017.0
2009-04-10,12017.0
2009-04-17,12017.0
2009-04-24,12017.0
2009-05-01,11850.0
2009-05-08,11850.0
2009-05-15,11850.0
2009-05-22,11850.0
2009-05-29,11850.0
2009-06-05,11713.0
2009-06-12,11713.0
2009-06-19,11713.0
2009-06-26,11713.0
2009-07-03,11654.0
2009-07-10,11654.0
2009-07-17,11654.0
2009-07-24,11654.0
2009-07-31,11654.0
2009-08-07,11612.0
2009-08-14,11612.0
2009-08-21,11612.0
2009-08-28,11612.0
2009-09-04,11580.0
2009-09-11,11580.0
2009-09-18,11580.0
2009-09-25,11580.0
2009-10-02,11527.0
2009-10-09,11527.0
2009-10-16,11527.0
2009-10-23,11527.0
2009-10-30,11527.0
2009-11-06,11498.0
2009-11-13,11498.0
2009-11-20,11498.0
2009-11-27,11498.0
2009-12-04,11465.0
2009-12-11,11465.0
2009-12-18,11465.0
2009-12-25,11465.0
2010-01-01,11447.0
2010-01-08,11447.0
2010-01-15,11447.0
2010-01-22,11447.0
2010-01-29,11447.0
2010-02-05,11439.0
2010-02-12,11439.0
2010-02-19,11439.0
2010-02-26,11439.0
2010-03-05,11439.0
2010-03-12,11439.0
2010-03-19,11439.0
2010-03-26,11439.0
2010-04-02,11475.0
2010-04-09,11475.0
2010-04-16,11475.0
2010-04-23,11475.0
2010-04-30,11475.0
2010-05-07,11511.0
2010-05-14,11511.0
2010-05-21,11511.0
2010-05-28,11511.0
2010-06-04,11529.0
2010-06-11,11529.0
2010-06-18,11529.0
2010-06-25,11529.0
2010-07-02,11546.0
2010-07-09,11546.0
2010-07-16,11546.0
2010-07-23,11546.0
2010-07-30,11546.0
2010-08-06,11538.0
2010-08-13,11538.0
2010-08-20,11538.0
2010-08-27,11538.0
2010-09-03,11549.0
2010-09-10,11549.0
2010-09-17,11549.0
2010-09-24,11549.0
2010-10-01,11548.0
2010-10-08,11548.0
2010-10-15,11548.0
2010-10-22,11548.0
2010-10-29,11548.0
2010-11-05,11571.0
2010-11-12,11571.0
2010-11-19,11571.0
2010-11-26,11571.0
2010-12-03,11579.0
2010-12-10,11579.0
2010-12-17,11579.0
2010-12-24,11579.0
2010-12-31,11579.0
2011-01-07,11606.0
2011-01-14,11606.0
2011-01-21,11606.0
2011-01-28,11606.0
2011-02-04,11637.0
2011-02-11,11637.0
2011-02-18,11637.0
2011-02-25,11637.0
2011-03-04,11659.0
2011-03-11,11659.0
2011-03-18,11659.0
2011-03-25,11659.0
2011-04-01,11689.0
2011-04-08,11689.0
2011-04-15,11689.0
2011-04-22,11689.0
2011-04-29,11689.0
2011-05-06,11697.0
2011-05-13,11697.0
2011-05-20,11697.0
2011-05-27,11697.0
2011-06-03,11710.0
2011-06-10,11710.0
2011-06-17,11710.0
2011-06-24,11710.0
2011-07-01,11729.0
2011-07-08,11729.0
2011-07-15,11729.0
2011-07-22,11729.0
2011-07-29,11729.0
2011-08-05,11748.0
2011-08-12,11748.0
2011-08-19,11748.0
2011-08-26,11748.0
2011-09-02,11752.0
2011-09-09,11752.0
2011-09-16,11752.0
2011-09-23,11752.0
2011-09-30,11752.0
2011-10-07,11762.0
2011-10-14,11762.0
2011-10-21,11762.0
2011-10-28,11762.0
2011-11-04,11753.0
2011-11-11,11753.0
2011-11-18,11753.0
2011-11-25,11753.0
2011-12-02,11783.0
2011-12-09,11783.0
2011-12-16,11783.0
2011-12-23,11783.0
2011-12-30,11783.0
2012-01-06,11820.0
2012-01-13,11820.0
2012-01-20,11820.0
2012-01-27,11820.0
2012-02-03,11841.0
2012-02-10,11841.0
2012-02-17,11841.0
2012-02-24,11841.0
2012-03-02,11880.0
2012-03-09,11880.0
2012-03-16,11880.0
2012-03-23,11880.0
2012-03-30,11880.0
2012-04-06,11897.0
2012-04-13,11897.0
2012-04-20,11897.0
2012-04-27,11897.0
2012-05-04,11908.0
2012-05-11,11908.0
2012-05-18,11908.0
2012-05-25,11908.0
2012-06-01,11918.0
2012-06-08,11918.0
2012-06-15,11918.0
2012-06-22,11918.0
2012-06-29,11918.0
2012-07-06,11944.0
2012-07-13,11944.0
2012-07-20,11944.0
2012-07-27,11944.0
2012-08-03,11940.0
2012-08-10,11940.0
2012-08-17,11940.0
2012-08-24,11940.0
2012-08-31,11940.0
2012-09-07,11934.0
2012-09-14,11934.0
2012-09-21,11934.0
2012-09-28,11934.0
2012-10-05,11941.0
2012-10-12,11941.0
2012-10-19,11941.0
2012-10-26,11941.0
2012-11-02,11930.0
2012-11-09,11930.0
2012-11-16,11930.0
2012-11-23,11930.0
2012-11-30,11930.0
2012-12-07,11939.0
2012-12-14,11939.0
2012-12-21,11939.0
2012-12-28,11939.0
2013-01-04,11962.0
2013-01-11,11962.0
2013-01-18,11962.0
2013-01-25,11962.0
2013-02-01,11974.0
2013-02-08,11974.0
2013-02-15,11974.0
2013-02-22,11974.0
2013-03-01,11977.0
2013-03-08,11977.0
2013-03-15,11977.0
2013-03-22,11977.0
2013-03-29,11977.0
2013-04-05,11978.0
2013-04-12,11978.0
2013-04-19,11978.0
2013-04-26,11978.0
2013-05-03,11978.0
2013-05-10,11978.0
2013-05-17,11978.0
2013-05-24,11978.0
2013-05-31,11978.0
2013-06-07,11982.0
2013-06-14,11982.0
2013-06-21,11982.0
2013-06-28,11982.0
2013-07-05,11962.0
2013-07-12,11962.0
2013-07-19,11962.0
2013-07-26,11962.0
2013-08-02,11992.0
2013-08-09,11992.0
2013-08-16,11992.0
2013-08-23,11992.0
2013-08-30,11992.0
2013-09-06,12010.0
2013-09-13,12010.0
2013-09-20,12010.0
2013-09-27,12010.0
2013-10-04,12033.0
2013-10-11,12033.0
2013-10-18,12033.0
2013-10-25,12033.0
2013-11-01,12054.0
2013-11-08,12054.0
2013-11-15,12054.0
2013-11-22,12054.0
2013-11-29,12054.0
2013-12-06,12060.0
2013-12-13,12060.0
2013-12-20,12060.0
2013-12-27,12060.0
2014-01-03,12058.0
2014-01-10,12058.0
2014-01-17,12058.0
2014-01-24,12058.0
2014-01-31,12058.0
2014-02-07,12084.0
2014-02-14,12084.0
2014-02-21,12084.0
2014-02-28,12084.0
2014-03-07,12096.0
2014-03-14,12096.0
2014-03-21,12096.0
2014-03-28,12096.0
2014-04-04,12109.0
2014-04-11,12109.0
2014-04-18,12109.0
2014-04-25,12109.0
2014-05-02,12120.0
2014-05-09,12120.0
2014-05-16,12120.0
2014-05-23,12120.0
2014-05-30,12120.0
2014-06-06,12146.0
2014-06-13,12146.0
2014-06-20,12146.0
2014-06-27,12146.0
2014-07-04,12165.0
2014-07-11,12165.0
2014-07-18,12165.0
2014-07-25,12165.0
2014-08-01,12182.0
2014-08-08,12182.0
2014-08-15,12182.0
2014-08-22,12182.0
2014-08-29,12182.0
2014-09-05,12201.0
2014-09-12,12201.0
2014-09-19,12201.0
2014-09-26,12201.0
2014-10-03,12233.0
2014-10-10,12233.0
2014-10-17,12233.0
2014-10-24,12233.0
2014-10-31,12233.0
2014-11-07,12260.0
2014-11-14,12260.0
2014-11-21,12260.0
2014-11-28,12260.0
2014-12-05,12266.0
2014-12-12,12266.0
2014-12-19,12266.0
2014-12-26,12266.0
2015-01-02,12265.0
2015-01-09,12265.0
2015-01-16,12265.0
2015-01-23,12265.0
2015-01-30,12265.0
2015-02-06,12275.0
2015-02-13,12275.0
2015-02-20,12275.0
2015-02-27,12275.0
2015-03-06,12286.0
2015-03-13,12286.0
2015-03-20,12286.0
2015-03-27,12286.0
2015-04-03,12291.0
2015-04-10,12291.0
2015-04-17,12291.0
2015-04-24,12291.0
2015-05-01,12306.0
2015-05-08,12306.0
2015-05-15,12306.0
2015-05-22,12306.0
2015-05-29,12306.0
2015-06-05,12307.0
2015-06-12,12307.0
2015-06-19,12307.0
2015-06-26,12307.0
2015-07-03,12323.0
2015-07-10,12323.0
2015-07-17,12323.0
2015-07-24,12323.0
2015-07-31,12323.0
2015-08-07,12318.0
2015-08-14,12318.0
2015-08-21,12318.0
2015-08-28,12318.0
2015-09-04,12326.0
2015-09-11,12326.0
2015-09-18,12326.0
2015-09-25,12326.0
2015-10-02,12334.0
2015-10-09,12334.0
2015-10-16,12334.0
2015-10-23,12334.0
2015-10-30,12334.0
2015-11-06,12329.0
2015-11-13,12329.0
2015-11-20,12329.0
2015-11-27,12329.0
2015-12-04,12333.0
2015-12-11,12333.0
2015-12-18,12333.0
2015-12-25,12333.0
2016-01-01,12354.0
2016-01-08,12354.0
2016-01-15,12354.0
2016-01-22,12354.0
2016-01-29,12354.0
2016-02-05,12337.0
2016-02-12,12337.0
2016-02-19,12337.0
2016-02-26,12337.0
2016-03-04,12313.0
2016-03-11,12313.0
2016-03-18,12313.0
2016-03-25,12313.0
2016-04-01,12325.0
2016-04-08,12325.0
2016-04-15,12325.0
2016-04-22,12325.0
2016-04-29,12325.0
2016-05-06,12303.0
2016-05-13,12303.0
2016-05-20,12303.0
2016-05-27,12303.0
2016-06-03,12321.0
2016-06-10,12321.0
2016-06-17,12321.0
2016-06-24,12321.0
2016-07-01,12342.0
2016-07-08,12342.0
2016-07-15,12342.0
2016-07-22,12342.0
2016-07-29,12342.0
2016-08-05,12319.0
2016-08-12,12319.0
2016-08-19,12319.0
2016-08-26,12319.0
2016-09-02,12317.0
2016-09-09,12317.0
2016-09-16,12317.0
2016-09-23,12317.0
2016-09-30,12317.0
2016-10-07,12316.0
2016-10-14,12316.0
2016-10-21,12316.0
2016-10-28,12316.0
2016-11-04,12311.0
2016-11-11,12311.0
2016-11-18,12311.0
2016-11-25,12311.0
2016-12-02,12324.0
2016-12-09,12324.0
2016-12-16,12324.0
2016-12-23,12324.0
2016-12-30,12324.0
2017-01-06,12334.0
2017-01-13,12334.0
2017-01-20,12334.0
2017-01-27,12334.0
2017-02-03,12350.0
2017-02-10,12350.0
2017-02-17,12350.0
2017-02-24,12350.0
2017-03-03,12361.0
2017-03-10,12361.0
2017-03-17,12361.0
2017-03-24,12361.0
2017-03-31,12361.0
2017-04-07,12367.0
2017-04-14,12367.0
2017-04-21,12367.0
2017-04-28,12367.0
2017-05-05,12377.0
2017-05-12,12377.0
2017-05-19,12377.0
2017-05-26,12377.0
2017-06-02,12390.0
2017-06-09,12390.0
2017-06-16,12390.0
2017-06-23,12390.0
2017-06-30,12390.0
2017-07-07,12390.0
2017-07-14,12390.0
2017-07-21,12390.0
2017-07-28,12390.0
2017-08-04,12435.0
2017-08-11,12435.0
2017-08-18,12435.0
2017-08-25,12435.0
2017-09-01,12443.0
2017-09-08,12443.0
2017-09-15,12443.0
2017-09-22,12443.0
2017-09-29,12443.0
2017-10-06,12457.0
2017-10-13,12457.0
2017-10-20,12457.0
2017-10-27,12457.0
2017-11-03,12472.0
2017-11-10,12472.0
2017-11-17,12472.0
2017-11-24,12472.0
2017-12-01,12501.0
2017-12-08,12501.0
2017-12-15,12501.0
2017-12-22,12501.0
2017-12-29,12501.0
2018-01-05,12527.0
2018-01-12,12527.0
2018-01-19,12527.0
2018-01-26,12527.0
2018-02-02,12551.0
2018-02-09,12551.0
2018-02-16,12551.0
2018-02-23,12551.0
2018-03-02,12576.0
2018-03-09,12576.0
2018-03-16,12576.0
2018-03-23,12576.0
2018-03-30,12576.0
2018-04-06,12595.0
2018-04-13,12595.0
2018-04-20,12595.0
2018-04-27,12595.0
2018-05-04,12623.0
2018-05-11,12623.0
2018-05-18,12623.0
2018-05-25,12623.0
2018-06-01,12656.0
2018-06-08,12656.0
2018-06-15,12656.0
2018-06-22,12656.0
2018-06-29,12656.0
2018-07-06,12676.0
2018-07-13,12676.0
2018-07-20,12676.0
2018-07-27,12676.0
2018-08-03,12688.0
2018-08-10,12688.0
2018-08-17,12688.0
2018-08-24,12688.0
2018-08-31,12688.0
2018-09-07,12710.0
2018-09-14,12710.0
2018-09-21,12710.0
2018-09-28,12710.0
2018-10-05,12731.0
2018-10-12,12731.0
2018-10-19,12731.0
2018-10-26,12731.0
2018-11-02,12741.0
2018-11-09,12741.0
2018-11-16,12741.0
2018-11-23,12741.0
2018-11-30,12741.0
2018-12-07,12761.0
2018-12-14,12761.0
2018-12-21,12761.0
2018-12-28,12761.0
2019-01-04,12790.0
2019-01-11,12790.0
2019-01-18,12790.0
2019-01-25,12790.0
2019-02-01,12782.0
2019-02-08,12782.0
2019-02-15,12782.0
2019-02-22,12782.0
2019-03-01,12788.0
2019-03-08,12788.0
2019-03-15,12788.0
2019-03-22,12788.0
2019-03-29,12788.0
2019-04-05,12785.0
2019-04-12,12785.0
2019-04-19,12785.0
2019-04-26,12785.0
2019-05-03,12778.0
2019-05-10,12778.0
2019-05-17,12778.0
2019-05-24,12778.0
2019-05-31,12778.0
2019-06-07,12787.0
2019-06-14,12787.0
2019-06-21,12787.0
2019-06-28,12787.0
2019-07-05,12790.0
2019-07-12,12790.0
2019-07-19,12790.0
2019-07-26,12790.0
2019-08-02,12789.0
2019-08-09,12789.0
2019-08-16,12789.0
2019-08-23,12789.0
2019-08-30,12789.0
2019-09-06,12787.0
2019-09-13,12787.0
2019-09-20,12787.0
2019-09-27,12787.0
2019-10-04,12733.0
2019-10-11,12733.0
2019-10-18,12733.0
2019-10-25,12733.0
2019-11-01,12777.0
2019-11-08,12777.0
2019-11-15,12777.0
2019-11-22,12777.0
2019-11-29,12777.0
2019-12-06,12760.0
